province,provinceLabel,position,positionLabel,person,personLabel,start,psid
Q130840,Eastern Cape,Q7240363,Premier of the Eastern Cape,Q64009897,Oscar Mabuyane,2019-05-22,Q64009897-B0FEAE96-8C60-48C9-8691-2517B5A73F76
Q160284,Free State,Q7240365,Premier of the Free State,Q52151613,Sisi Ntombela,2018-03-27,Q52151613-1669af47-4a0b-0fa6-f475-5f75aa5bff8d
Q133083,Gauteng,Q7240351,Premier of Gauteng,Q22279007,David Makhura,2014-05-21,Q22279007-C9562F01-2185-4AF7-A630-80C318655050
Q81725,KwaZulu-Natal,Q7240352,Premier of KwaZulu-Natal,Q63220969,Sihle Zikalala,2019-05-27,Q63220969-e2539921-49b4-5c1f-7019-72696aa185fb
Q134907,Limpopo,Q7240353,Premier of Limpopo,Q27663072,Stanley Mathabatha,2013-07-18,Q27663072-4e270003-47a4-f884-19fb-9ab24337f22d
Q132410,Mpumalanga,Q7240354,Premier of Mpumalanga,Q52707425,Refilwe Mtsweni,2018-03-20,Q52707425-e737bdea-4e68-ffb1-4f0f-a98ad6d46fcc
Q165956,North West Province,Q7240358,Premier of North West,Q108129401,Bushy Maape,2021-09-07,Q108129401-DC987726-8FD4-4E52-AAAA-ED44E87B8590
Q132418,Northern Cape,Q7240366,Premier of the Northern Cape,Q63248078,Zamani Saul,2019-05-22,Q63248078-5f987ecd-4223-714c-a59e-d3a27129b2ac
Q127167,Western Cape,Q4997324,Premier of the Western Cape,Q28839658,Alan Winde,2019-05-22,Q28839658-7FBB6738-9B5C-4409-B84B-91AE8AC7FF24
