item,itemLabel,startDate,endDate,sourceDate,psid
Q5561170,Gilbert Ramano,1998-07-01,2004-05-31,,Q5561170-B856149D-476E-482F-95D6-4132E06481BA
Q2299037,Solly Shoke,2004-06-01,2011-05-01,,Q2299037-33FB664C-A387-436F-AF4E-39996566AA71
Q7943708,Vusumuzi Masondo,2011-10-01,2016-01-31,,Q7943708-3DD5B124-F3CA-43E5-84E7-24E81A1F7A91
Q19561217,Lindile Yam,2016-02-01,2019-10-31,,Q19561217-D7603D6C-FF9C-41FA-A53E-14366A9A3B9B
Q78117921,Thabiso Mokhosi,2019-11-01,2019-12-10,,Q78117921-1BF6E4D9-61D3-455F-B031-4C7F82CC8636
Q19561169,Lawrence Mbatha,2020-04-09,,,Q19561169-0725CB38-F3A5-46A8-8B1C-932BEA04F3A8
