province,provinceLabel,person,personLabel
Q130840,Eastern Cape,Q64009897,Oscar Mabuyane
Q160284,Free State,Q52151613,Sisi Ntombela
Q133083,Gauteng,Q22279007,David Makhura
Q81725,KwaZulu-Natal,Q63220969,Sihle Zikalala
Q134907,Limpopo,Q27663072,Stanley Mathabatha
Q132410,Mpumalanga,Q52707425,Refilwe Mtsweni-Tsipane
Q165956,North West,Q108129401,Bushy Maape
Q132418,Northern Cape,Q63248078,Zamani Saul
Q127167,Western Cape,Q28839658,Alan Winde
