wanted,position,positionid,from,start,end
Q510746,Minister of Defence,Q54642257,Q1625605,2021-08-06,
Q243833,Minister of Cooperative Governance and Traditional Affairs,Q20981732,Q150276,2019-05-30,
Q47530068,Minister of State Security,Q6866333,Q28839897,2019-05-30,2021-08-05
Q3269581,Minister of Public Enterprises,Q20981739,Q561279,2018-02-28,
Q28086070,Minister of Mineral Resources,Q20981738,Q975366,2018-02-27,
Q20981694,Minister of Energy,Q20981735,Q1686353,2018-02-26,2019-05-30
Q16765128,Minister of Home Affairs,Q2640095,Q28839897,2017-10-17,2018-02-28
Q17075932,Minister of Communications,Q6866063,Q28839897,2017-03-31,2017-10-17
Q24233839,Minister of Police,Q16744852,Q1412305,2017-03-31,2018-02-26
Q5340080,Minister of Water and Sanitation,Q20981751,Q7048706,2014-05-26,2018-01-28
Q1390963,Minister of Tourism,Q20981747,Q3023722,2014-05-25,2017-03-30
Q15818087,Minister of Energy,Q20981735,Q4956754,2014-05-25,2017-03-31
Q47530058,Minister of Cooperative Governance and Traditional Affairs,Q20981732,Q561279,2014-05-25,2015-12-14
Q7152252,Minister of Arts and Culture,Q11794965,Q1966829,2014-05-25,2019-05-30
Q6795248,Speaker of the National Assembly,Q3643395,Q804894,2014-05-21,2019-05-22
Q4354849,Minister of Public Works,Q16744853,Q16193273,2011-10-24,2017-03-31
Q50379478,Minister of Public Service and Administration,Q20981740,Q7373242,2011-10-24,2012-05-05
Q1886347,Minister of Sport and Recreation,Q20981745,Q1412305,2010-11-01,2017-03-31
Q6814194,Minister of Labour,Q108005366,Q16765319,2010-11-01,2019-05-29
Q951030,Minister of Communications,Q6866063,Q7373242,2010-11-01,2011-10-24
Q5003356,"Minister of Environment, Forestry and Fisheries",Q6866418,Q5340080,2010-10-31,2014-05-25
Q5003356,Minister of Mineral Resources,Q20981738,Q7648369,2009-05-11,2014-05-25
Q6891175,Minister of Justice and Constitutional Development,Q2601386,Q1686353,2009-05-11,2014-05-25
Q5081288,Minister of Defence and Military Veterans,Q972690,Q3241428,2009-05-10,2012-06-12
Q510746,Minister of Home Affairs,Q2640095,Q150276,2009-05-10,2012-10-03
Q932620,Minister of State Security,Q6866333,Q2290959,2008-09-25,2009-05-10
Q5502776,Speaker of the National Assembly,Q3643395,Q804894,2004-07-13,2008-09-25
Q3027094,Minister of Education,Q3251789,Q11043304,2004-05-12,2009-05-10
Q317726,Minister of Transport,Q6866406,Q1686353,2004-04-29,2009-05-10
Q3973403,Minister of Police,Q16744852,Q5081288,2002-05-07,2008-09-25
