wanted,position,positionid,from,start,end
Q47530058,Speaker of the National Assembly,Q3643395,Q1625605,2019-05-22,2021-08-05
Q975366,Minister of Energy,Q20981735,Q1686353,2018-02-26,2019-05-30
Q20981694,Minister of Energy,Q20981735,Q16746680,2017-03-31,2017-10-17
Q21694330,Minister of Cooperative Governance and Traditional Affairs,Q20981732,Q561279,2014-05-25,2015-12-14
Q1109753,Minister of Public Service and Administration,Q20981740,Q3241428,2012-06-12,2014-05-25
Q24233839,Minister of Public Works,Q16744853,Q16193273,2011-10-24,2017-03-31
Q16193273,Minister of Labour,Q108005366,Q16765319,2010-11-01,2019-05-29
Q16765128,Minister of Higher Education and Training,Q11794974,Q16765311,2009-05-11,2017-10-17
Q16765753,Minister of Mineral Resources,Q20981738,Q7648369,2009-05-11,2014-05-25
Q20981694,Minister of State Security,Q6866333,Q2290959,2009-05-11,2014-05-25
Q24233839,Minister of Police,Q16744852,Q1966829,2009-05-10,2014-05-25
Q510746,Minister of Defence and Military Veterans,Q972690,Q3241428,2009-05-10,2012-06-12
Q3241428,Minister of Defence,Q54642257,Q5081288,2008-09-25,2009-04-21
Q16765235,"Minister of Agriculture, Forestry and Fisheries",Q6866029,Q6702772,2006,2009
Q4354849,Speaker of the National Assembly,Q3643395,Q804894,2004-07-13,2008-09-25
Q7387015,Minister of Transport,Q6866406,Q1686353,2004-04-29,2009-05-10
