@@,itemlabel,item,startdate,enddate
->,"John de Villiers, 1st Baron de Villiers->The 1st Baron de Villiers",Q6265661,1910-01-01->1910,1914-01-01->1914
->,James Rose Innes->Sir James Rose Innes,Q15996283,1914-01-01->1914,1927-01-01->1927
->,William Henry Solomon->Sir William Henry Solomon,Q17627070,1927-01-01->1927,1929-01-01->1929
->,Jacob de Villiers,Q19538817,1929-01-01->1929,1932-01-01->1932
->,John Wessels->Sir John Wessels,Q17627123,1932-01-01->1932,1936-01-01->1936
->,John Stephen Curlewis,Q34471047,1936-01-01->1936,1938-01-01->1938
->,James Stratford,Q35160596,1938-01-01->1938,1939-01-01->1939
->,Nicolaas Jacobus de Wet,Q971066,1939-01-01->1939,1943-01-01->1943
->,Ernest Frederick Watermeyer,Q24203414,1943-01-01->1943,1950-01-01->1950
->,Albert van der Sandt Centlivres,Q4711550,1950-01-01->1950,1957-01-01->1957
->,Henry Fagan->Henry Allan Fagan,Q13034914,1957-01-01->1957,1959-01-01->1959
->,Lucas Cornelius Steyn,Q3838348,1959-01-01->1959,1971-01-01->1971
->,Newton Ogilvie Thompson,Q23541130,1971-01-01->1971,1974-01-01->1974
->,Frans Lourens Herman Rumpff,Q24203313,1974-01-01->1974,1982-01-01->1982
->,Pieter Jacobus Rabie,Q20679489,1982-01-01->1982,1989-01-01->1989
->,Michael Corbett,Q6829460,1989-01-01->1989,1996-01-01->1996
->,Ismail Mahomed,Q6084777,1998-01-01->1998,2000-01-01->2000
->,Arthur Chaskalson,Q4777178,2001-11-01->2001,2005-06-01->2005
->,Pius Langa,Q7199595,2005-06-01->2005,2009-10-01->2009
->,Sandile Ngcobo,Q7416361,2009-10-12->2009,2011-08-12->2011
->,Mogoeng Mogoeng,Q6890661,2011-09-08->2011,2021-10-11->2021
---,Raymond Zondo,Q7299252,2021-10-11,
